Pb,n,t,Rank,Score,Rank,Score,Rank,Score,Rank,Score,Name,Rank,Score
NK,64,1,2/84,0.7124,36/84,0.7097,54/84,0.7052,56/84,0.7008,DiscreteDE,1/84,0.7126
NK,64,2,2/84,0.7475,10/84,0.7412,53/84,0.7312,56/84,0.7262,DiscreteDE,1/84,0.7497
NK,64,4,2/84,0.7609,4/84,0.7492,54/84,0.7330,55/84,0.7316,DiscreteDE,1/84,0.7658
NK,64,8,1/84,0.7538,8/84,0.7368,54/84,0.7176,55/84,0.7174,DiscreteDE,2/84,0.7535
NK,128,1,1/84,0.7118,3/84,0.7085,54/84,0.6956,56/84,0.6928,DiscreteDE,2/84,0.7094
NK,128,2,1/84,0.7406,3/84,0.7334,55/84,0.7147,56/84,0.7135,DiscreteDE,2/84,0.7364
NK,128,4,1/84,0.7646,3/84,0.7514,54/84,0.7229,53/84,0.7285,DiscreteDE,2/84,0.7535
NK,128,8,1/84,0.7454,3/84,0.7369,55/84,0.7034,56/84,0.6681,DiscreteDE,2/84,0.7373
NK,256,1,1/84,0.7091,2/84,0.7048,56/84,0.6802,50/84,0.6863,DiscreteDE,3/84,0.7029
NK,256,2,1/84,0.7395,2/84,0.7314,54/84,0.6989,48/84,0.7093,"HugeLognormalDiscr
eteOnePlusOne",3/84,0.7269
NK,256,4,1/84,0.7598,2/84,0.7429,55/84,0.7019,47/84,0.7162,"HugeLognormalDiscr
eteOnePlusOne",3/84,0.7352
NK,256,8,1/84,0.7334,2/84,0.7315,55/84,0.6805,63/84,0.5852,"OnePtRecombiningDi
screteLenglerOnePl
usOne",3/84,0.7242
NK3,64,1,2/83,0.7894,—,—,54/83,0.7659,55/83,0.7651,DiscreteDE,1/83,0.7918
NK3,64,2,1/83,0.8204,—,—,51/83,0.7825,54/83,0.7793,DiscreteDE,2/83,0.8154
NK3,64,4,1/83,0.8066,—,—,55/83,0.7645,58/83,0.7548,DiscreteDE,2/83,0.8033
NK3,64,8,14/83,0.7627,—,—,59/83,0.6583,57/83,0.7000,DiscreteDE,1/83,0.7779
NK3,128,1,1/83,0.7975,—,—,48/83,0.7600,50/83,0.7530,DiscreteDE,2/83,0.7918
NK3,128,2,1/83,0.8123,—,—,48/83,0.7621,55/83,0.7523,DiscreteDE,2/83,0.7959
NK3,128,4,1/83,0.7989,—,—,54/83,0.7469,56/83,0.7321,"RandRecombiningDis
creteLenglerOnePlu
sOne",2/83,0.7829
NK3,128,8,44/83,0.7491,—,—,63/83,0.6098,58/83,0.6297,"OnePtRecombiningDi
screteLenglerOnePl
usOne",1/83,0.7618
NK3,256,1,1/83,0.7889,—,—,47/83,0.7363,49/83,0.7238,"DiscreteLengler3On
ePlusOne",2/83,0.7741
NK3,256,2,1/83,0.8035,—,—,47/83,0.7393,49/83,0.7249,"DiscreteLengler3On
ePlusOne",2/83,0.7839
NK3,256,4,1/83,0.7823,—,—,47/83,0.7265,54/83,0.7072,"DiscreteLengler3On
ePlusOne",2/83,0.7783
NK3,256,8,46/83,0.7285,—,—,63/83,0.5784,62/83,0.5790,"SmallLognormalDisc
reteOnePlusOne",1/83,0.7552
