nk_n,nk_k,M,fitness_median,fitness_min,fitness_max,count
64,1,1,0.6945082545280457,0.665881872177124,0.7613165378570557,100
64,1,2,0.6971379816532135,0.671828031539917,0.7613165378570557,100
64,1,4,0.70106041431427,0.6734704971313477,0.7613165378570557,100
64,1,8,0.6998153328895569,0.6728163957595825,0.7613165378570557,100
64,1,10,0.699198454618454,0.6692171096801758,0.7613165378570557,100
64,2,1,0.7304425537586212,0.6699179410934448,0.8118547797203064,100
64,2,2,0.7412273585796356,0.6913298964500427,0.8118547797203064,100
64,2,4,0.7423104643821716,0.7014102935791016,0.8117820024490356,100
64,2,8,0.7411432862281799,0.6902012825012207,0.8108762502670288,100
64,2,10,0.7322860360145569,0.6787335872650146,0.8044298887252808,100
64,4,1,0.7394196689128876,0.6986796855926514,0.7787664532661438,100
64,4,2,0.7523496747016907,0.7081241011619568,0.7830487489700317,100
64,4,4,0.7577319741249084,0.7188106775283813,0.7845590114593506,100
64,4,8,0.7332611978054047,0.6737091541290283,0.7674113512039185,100
64,4,10,0.6940431594848633,0.655341625213623,0.7496342062950134,100
64,8,1,0.7282981872558594,0.6768202781677246,0.7760127782821655,100
64,8,2,0.7385909855365753,0.7058886289596558,0.7748693823814392,100
64,8,4,0.7394691109657288,0.715186357498169,0.7856601476669312,100
64,8,8,0.6419070959091187,0.6258939504623413,0.6812426447868347,100
64,8,10,0.6390000283718109,0.6226942539215088,0.6811988353729248,100
128,1,1,0.7071036100387573,0.6579617261886597,0.7332221269607544,100
128,1,2,0.7108852863311768,0.6664859056472778,0.7344768047332764,100
128,1,4,0.7116668224334717,0.6727074384689331,0.7339699268341064,100
128,1,8,0.7025609612464905,0.6583930253982544,0.7258176803588867,100
128,1,10,0.6873245239257812,0.6408751010894775,0.715562641620636,100
128,2,1,0.7270040512084961,0.7022377252578735,0.7448176145553589,100
128,2,2,0.736567497253418,0.7102216482162476,0.7538237571716309,100
128,2,4,0.7388888597488403,0.7190942764282227,0.7589119672775269,100
128,2,8,0.7131268382072449,0.6867614984512329,0.7368309497833252,100
128,2,10,0.684504508972168,0.6605919599533081,0.71982741355896,100
128,4,1,0.7392304539680481,0.7008391618728638,0.7840195894241333,100
128,4,2,0.7520548701286316,0.7176504731178284,0.7813167572021484,100
128,4,4,0.7556624412536621,0.7207533717155457,0.7852973341941833,100
128,4,8,0.6841085255146027,0.6440277099609375,0.7312089800834656,100
128,4,10,0.6443035900592804,0.6166208982467651,0.6815633773803711,100
128,8,1,0.7235869765281677,0.6917351484298706,0.7631043195724487,100
128,8,2,0.7313915491104126,0.7071890234947205,0.7649694681167603,100
128,8,4,0.7040502429008484,0.6590654850006104,0.7384158372879028,100
128,8,8,0.5988228917121887,0.5875421762466431,0.6323375105857849,100
128,8,10,0.5982969403266907,0.5846003293991089,0.6319389343261719,100
256,1,1,0.7026853859424591,0.6759118437767029,0.7205548286437988,100
256,1,2,0.7093332409858704,0.6850811839103699,0.7252755761146545,100
256,1,4,0.707121729850769,0.6835376024246216,0.7249253988265991,100
256,1,8,0.675413966178894,0.6485554575920105,0.6975176334381104,100
256,1,10,0.6528401374816895,0.6223846077919006,0.679805338382721,100
256,2,1,0.726146399974823,0.7063159942626953,0.744810938835144,100
256,2,2,0.7352202534675598,0.7092303037643433,0.7490549087524414,100
256,2,4,0.7319734394550323,0.7072151899337769,0.7469261884689331,100
256,2,8,0.6732706129550934,0.6420624256134033,0.700431764125824,100
256,2,10,0.6428947150707245,0.6211545467376709,0.6696717739105225,100
256,4,1,0.7364446222782135,0.704948365688324,0.75666344165802,100
256,4,2,0.7469415068626404,0.729726254940033,0.7708008289337158,100
256,4,4,0.7300542593002319,0.6964231133460999,0.764586865901947,100
256,4,8,0.6261757910251617,0.5966324806213379,0.6513662338256836,100
256,4,10,0.5979712903499603,0.5809913277626038,0.6267960071563721,100
256,8,1,0.7218323945999146,0.6954222321510315,0.7444618940353394,100
256,8,2,0.7259714305400848,0.7068150043487549,0.7465596795082092,100
256,8,4,0.6372590959072113,0.6080344915390015,0.7177330255508423,100
256,8,8,0.5700252950191498,0.5621494054794312,0.5875437259674072,100
256,8,10,0.570612758398056,0.5610527992248535,0.5829082727432251,50
